ZAGROS POWER PLANT,,,,,,,,
GAS STATION LOG SHEET,,,,,,,,
CONFIRMED BY :,,,,,,,,
DATE,DESCRIPTION,UNIT,OT-1,SITE-1,OT-2,SITE-2,OT-3,SITE-3
INLET GAS TEMP TO STATION,C°,21,22,21.9,22,21.49,22,
1397/5/8,INLET GAS PRESS TO STATION,PSI,-,710,747.8,739,773,754
INLET GAS TEMP TO STATION,C°,-,21,21.5,22,21.7,22,
1397/5/9,INLET GAS PRESS TO STATION,PSI,726.6,719,737,725,-,725.18
INLET GAS TEMP TO STATION,C°,21.52,22,21.9,23,-,23,
1397/5/10,INLET GAS PRESS TO STATION,PSI,714.8,710.6,731,720,720,705
INLET GAS TEMP TO STATION,C°,22.01,23,21.8,22,21.7,22,
1397/5/11,INLET GAS PRESS TO STATION,PSI,-,710.6,716.6,710,717,710
INLET GAS TEMP TO STATION,C°,-,23,21.9,23,22.7,24,
1397/5/12,INLET GAS PRESS TO STATION,PSI,723,700,756.1,740,750,720
INLET GAS TEMP TO STATION,C°,21.9,22,22.4,22,22.3,22.5,
1397/5/13,INLET GAS PRESS TO STATION,PSI,756,740,763.5,750,725.3,720
INLET GAS TEMP TO STATION,C°,22,22,22.27,22,22.33,23,
1397/5/14,INLET GAS PRESS TO STATION,PSI,770.8,760,768.2,754,740,720
INLET GAS TEMP TO STATION,C°,22.7,24,22.1,23,22,22,
1397/5/15,INLET GAS PRESS TO STATION,PSI,753.9,740,799,780,792,790
INLET GAS TEMP TO STATION,C°,22.25,22.5,22.4,22,22,24,
1397/5/16,INLET GAS PRESS TO STATION,PSI,776.9,780,764,760,796.4,790
INLET GAS TEMP TO STATION,C°,22.3,23,22.6,23,22.36,22,
1397/5/17,INLET GAS PRESS TO STATION,PSI,-,754,749,745,754,750
INLET GAS TEMP TO STATION,C°,-,21,22.2,23,22.8,23,
1397/5/18,INLET GAS PRESS TO STATION,PSI,739,730,730,720,734,725
INLET GAS TEMP TO STATION,C°,22.6,24,22.5,24,22.4,22,
1397/5/19,INLET GAS PRESS TO STATION,PSI,739,730,751,730,758,740
INLET GAS TEMP TO STATION,C°,22.1,23,22.4,22.5,23.1,24,
1397/5/20,INLET GAS PRESS TO STATION,PSI,770,754,738,740,764,754
INLET GAS TEMP TO STATION,C°,22.74,23,22.9,24,22.6,23,
1397/5/21,INLET GAS PRESS TO STATION,PSI,728.5,725.1,759,739,732,735
INLET GAS TEMP TO STATION,C°,22.91,24,22,23,20.3,22,
1397/5/22,INLET GAS PRESS TO STATION,PSI,683,688,721.4,720,710,700
INLET GAS TEMP TO STATION,C°,19.63,21,22.82,24,22.4,22,
,,,,,,,,
,,,,,,,,
1397/5/23,INLET GAS PRESS TO STATION,PSI,-,640,723,717.9,726.6,710
INLET GAS TEMP TO STATION,C°,-,22,23.4,24,22.91,23,
1397/5/24,INLET GAS PRESS TO STATION,PSI,746,745,807,780,-,725
INLET GAS TEMP TO STATION,C°,24.2,24,23,23,-,24,
1397/5/25,INLET GAS PRESS TO STATION,PSI,754.3,755,-,739.6,721,725
INLET GAS TEMP TO STATION,C°,23.03,24,-,23,22.8,24,
1397/5/26,INLET GAS PRESS TO STATION,PSI,773.4,765,-,754,780,765
INLET GAS TEMP TO STATION,C°,23.55,25,-,23,23,23.5,
1397/5/27,INLET GAS PRESS TO STATION,PSI,768,760,766,760,768.7,760
INLET GAS TEMP TO STATION,C°,23,24,23.03,23,23.08,24,
1397/5/28,INLET GAS PRESS TO STATION,PSI,741,725,721,710,738,730
INLET GAS TEMP TO STATION,C°,23,23,22.8,23,22.8,23,
1397/5/29,INLET GAS PRESS TO STATION,PSI,741,738,-,730,733.9,730
INLET GAS TEMP TO STATION,C°,24.1,23.5,-,25,23.5,25,
1397/5/30,INLET GAS PRESS TO STATION,PSI,736,720,-,725,739.6,715
INLET GAS TEMP TO STATION,C°,23,23,-,24,23.11,23,
1397/5/31,INLET GAS PRESS TO STATION,PSI,753.9,740,779.1,765,779,770
INLET GAS TEMP TO STATION,C°,23.26,24,23.5,25,23,26,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
